,term,group
1,camera trap,camera
2,camera trap images,camera
3,camera traps,camera
4,computer vision,ml
5,convolutional neural,ml
6,convolutional neural network,ml
7,convolutional neural networks,ml
8,deep learning,ml
9,image classification,ml
10,machine learning,ml
11,neural network,ml
12,neural networks,ml
13,automatic camera,camera
