PaperID	Author	Title	Source	PubYear	Volume	Issue	StartPage	EndPage	StartYear	EndYear	Months	Areakm2	NumCams	CamDays
25	"al Hikmani, Hadi; al Hikmani, Khalid"	First photographic record of twin Arabian leopards in the wild.	Cat News	2014	60		15	15						
26	"Al Rashidi, Monif; Shobrak, Mohammed"	"Using a trail camera to record the breeding behaviour of Saunders's Tern on Farasan Island, Saudi Arabia."	Phoenix	2013	29		20	20						
27	"Albayrak, Irfan"	ON SUS SCROFA (MAMMALIA: CHIROPTERA) IN TURKEY.	Munis Entomology & Zoology	2019	14	1	170	175	2017	2017	7			2580
28	"Albayrak, Irfan; Saricam, Tugba"	"ESTIMATING POPULATION SIZE OF BROWN HARE (LEPUS EUROPAEUS PALLAS, 1778) IN TURKEY"	Munis Entomology & Zoology	2017	12	1	346	350	2015	2016	9			
29	"Alexander, Justine S.; Zhang, Chengcheng; Shi, Kun; Riordan, Philip"	A granular view of a snow leopard population using camera traps in Central China	BIOLOGICAL CONSERVATION	2016	197		27	31	2013	2014	19	375	34	7133
30	"Alexander, Justine S.; Shi, Kun; Tallents, Lucy A.; Riordan, Philip"	"On the high trail: examining determinants of site use by the Endangered snow leopard Panthera uncia in Qilianshan, China"	ORYX	2016	50	2	231	238	2013	2013	3	480	60	2906
31	"Alexander, Justine S.; Cusack, Jeremy J.; Pengju, Chen; Kun, Shi; Riordan, Philip"	Conservation of snow leopards: spill-over benefits for other carnivores?	ORYX	2016	50	2	239	243	2013	2014	7	480	47.5	8498
32	"Alexander, Justine S.; Gopalaswamy, Arjun M.; Shi, Kun; Riordan, Philip"	Face Value: Towards Robust Estimates of Snow Leopard Densities	PLOS ONE	2015	10	8			2013	2013	3	480	60	2906
33	"Alexander, Peter D.; Gese, Eric M."	Identifying individual cougars (Puma concolor) in remote camera images - implications for population estimates	WILDLIFE RESEARCH	2018	45	3	274	281	2013	2013	3		98	
34	"Allain, Steven J. R."	"In the shadow of mammals: the use of camera traps to investigate the basking behaviour of Agama mwanzae in the Serengeti National Park, Tanzania"	Herpetological Bulletin	2018		145	19	21	2010	2010				
35	"Alldredge, Mat W.; Blecha, Tasha; Lewis, Jonathan H."	Less invasive monitoring of cougars in colorado's front range	WILDLIFE SOCIETY BULLETIN	2019	43	2	222	230	2014	2016	9	800	66	
36	"Allen, Benjamin L.; Behrendorff, Linda; Willsher, Lyn; Kaluza, Janina; Oakey, Jane"	Recent invasion of European red foxes (Vulpes vulpes) on to Fraser Island (K'gari) and South Stradbroke Island	AUSTRAL ECOLOGY	2017	42	7	752	758	2009	2016				
37	"Allen, Maximilian L.; Ward, Michael P.; Juznic, Damjan; Krofel, Miha"	SCAVENGING BY OWLS: A GLOBAL REVIEW AND NEW OBSERVATIONS FROM EUROPE AND NORTH AMERICA	JOURNAL OF RAPTOR RESEARCH	2019	53	4	410	418	2016	2017	3	1.2	1	
38	"Allen, Maximilian L.; Harris, Rachel E.; Olson, Lucas O.; Olson, Erik R.; Van Stappen, Julie; Van Deelen, Timothy R."	Resource limitations and competitive interactions affect carnivore community composition at different ecological scales in a temperate island system	MAMMALIA	2019	83	6	552	561	2014	2016	22		91	18761
39	"Allen, Maximilian L.; Wojcik, Beth; Evans, Bryn E.; Iehl, Emily E.; Barker, Rachel E.; Wheeler, Michael E.; Peterson, Brittany E.; Dohm, Regan I.; Mueller, Marcus A.; Olson, Lucas O.; Ederer, Brittany; Stewart, Margaret; Crimmins, Shawn; Pemble, Ken; Van Stappen, Julie; Olson, Erik; Van Deelen, Timothy R."	"Detection of Endangered American Martens (Martes americana) in Apostle Islands National Lakeshore, Wisconsin"	AMERICAN MIDLAND NATURALIST	2018	179	2	294	298	2014	2016	22		91	18761
40	"Allen, Maximilian L.; Peterson, Brittany; Krofel, Miha"	No respect for apex carnivores: Distribution and activity patterns of honey badgers in the Serengeti	MAMMALIAN BIOLOGY	2018	89		90	94	2010	2013	35	1120	224	98644
41	"Allen, Maximilian L.; Elbroch, L. Mark; Wittmer, Heiko U."	"Encounter Competition between a Cougar, Puma concolor, and a Western Spotted Skunk, Spilogale gracilis"	Canadian Field-Naturalist	2013	127	1	64	66	2011	2011	1	0.1	1	
42	"Alonso, Robert S.; McClintock, Brett T.; Lyren, Lisa M.; Boydston, Erin E.; Crooks, Kevin R."	Mark-Recapture and Mark-Resight Methods for Estimating Abundance with Remote Cameras: A Carnivore Case Study	PLOS ONE	2015	10	3			2006	2007	7	120	30	4669
43	"Alonso, Robert S.; Lyren, Lisa M.; Boydston, Erin E.; Haas, Christopher D.; Crooks, Kevin R."	EVALUATION OF ROAD EXPANSION AND CONNECTIVITY MITIGATION FOR WILDLIFE IN SOUTHERN CALIFORNIA	SOUTHWESTERN NATURALIST	2014	59	2	181	187	1997	2009	41		28	
44	"AlRashidi, Monif; Shobrak, Mohammed"	Incubation routine of Saunders's Tern Sternula saundersi in a harsh environment	AVIAN BIOLOGY RESEARCH	2015	8	2	113	116	2012	2012	1		10	7925
45	"Altendorf, KB; Laundre, JW; Gonzalez, CAL; Brown, JS"	Assessing effects of predation risk on foraging behavior of mule deer	JOURNAL OF MAMMALOGY	2001	82	2	430	439	1995	1997	7			
46	"Altwegg, Res; Nichols, James D."	Occupancy models for citizen-science data	METHODS IN ECOLOGY AND EVOLUTION	2019	10	1	8	21						
47	"Alvarenga, Guilherme Costa; Ramalho, Emiliano Esterci; Baccaro, Fabricio Beggiato; da Rocha, Daniel Gomes; Ferreira-Ferreira, Jefferson; Dineli Bobrowiec, Paulo Estefano"	"Spatial patterns of medium and large size mammal assemblages in varzea and terra firme forests, Central Amazonia, Brazil"	PLOS ONE	2018	13	5			2013	2014	8	400	101	5015
48	"Ambarli, Huseyin; Bilgin, C. Can"	"First record of a melanistic golden jackal (Canis aureus, Canidae) from Turkey"	MAMMALIA	2013	77	2	219	222	2009	2010	15		9	620
49	"Ambarli, Huseyin; Mengulluoglu, Deniz; Bilgin, C. Can"	First camera trap pictures of Eurasian lynx from Turkey.	Cat News	2010	52		32	32	2008	2009	12		21	
51	"Amin, Rajan; Wacher, Tim; Clifford, Josef; Ogwoka, Bernard; Agwanda, Bernard Risky"	"ABUNDANCE, DISTRIBUTION, HABITAT, ACTIVITY AND CONSERVATION OF SOKOKE BUSHY-TAILED MONGOOSE BDEOGALE OMNIVORA IN CENTRAL AND NORTH COAST FORESTS OF KENYA"	Journal of East African Natural History	2019	108	1	37	48	2010	2015	14	487	117	9229
52	"Amin, Rajan; Wacher, Tim; Bowkett, Andrew E.; Ogwoka, Bernard; Morris, Mike; Agwanda, Bernard R."	AFRICA'S FORGOTTEN FORESTS: THE CONSERVATION VALUE OF KENYA'S NORTHERN COASTAL FORESTS FOR LARGE MAMMALS	Journal of East African Natural History	2018	107	2	41	61	2010	2015	25	300	82	7020
53	"Amin, Rajan; Wacher, Tim; Butynski, Thomas M."	SYMPATRY AMONG THREE SUID SPECIES (FAMILY SUIDAE) ON THE NORTH COAST OF KENYA	Journal of East African Natural History	2017	106	2	67	78	2010	2015	14	487	117	9229
54	"Amin, Rajan; Agwanda, Bernard Risky; Ogwoka, Bernard; Wacher, Tim"	"STATUS AND BEHAVIOURAL ECOLOGY OF SENGIS IN THE BONI-DODORI AND ARABUKO-SOKOKE FORESTS, KENYA, DETERMINED BY CAMERA TRAPS"	Journal of East African Natural History	2017	105	Part 2	223	235				300		
55	"Amin, Rajan; Andanje, Samuel A.; Ogwonka, Bernard; Ali, Abdullahi H.; Bowkett, Andrew E.; Omar, Mohamed; Wacher, Tim"	The northern coastal forests of Kenya are nationally and globally important for the conservation of Aders' duiker Cephalophus adersi and other antelope species	BIODIVERSITY AND CONSERVATION	2015	24	3	641	658	2010	2010	12		84	5723
58	"Ampeng, A.; Shukor, M. N.; Sahibin, A. R.; Idris, W. M. R.; Ahmad, S.; Mohammad, H.; Madeline, G. P.; Ali, N.; Bujang, M.; Hashim, I.; Bujang, A.; Md-Zain, B. M."	"Patterns of mineral lick use by Northwest Bornean orangutans (Pongo pygmaeus pygmaeus) in the Lanjak Entimau Wildlife Sanctuary, Sarawak, Malaysia"	EUROPEAN JOURNAL OF WILDLIFE RESEARCH	2016	62	1	147	150	2009	2010	23		16	649
59	"An Nguyen; Van Bang Tran; Duc Minh Hoang; Thi Anh Minh Nguyen; Dinh Thang Nguyen; Van Tiep Tran; Long, Barney; Meijaard, Erik; Holland, Jeff; Wilting, Andreas; Tilker, Andrew"	Camera-trap evidence that the silver-backed chevrotain Tragulus versicolor remains in the wild in Vietnam	NATURE ECOLOGY & EVOLUTION	2019	3	12	1650	1654	2017	2018	9		15.5	2643
60	"Andanje, Samuel A.; Bowkett, Andrew E.; Agwanda, Bernard Risky; Ngaruiya, Grace W.; Plowman, Amy B.; Wacher, Tim; Amin, Rajan"	A new population of the Critically Endangered Aders' duiker Cephalophus adersi confirmed from northern coastal Kenya	ORYX	2011	45	3	444	447	2008	2008	2		28	358
61	"Anderson, T. Michael; White, Staci; Davis, Bryant; Erhardt, Rob; Palmer, Meredith; Swanson, Alexandra; Kosmala, Margaret; Packer, Craig"	The spatial distribution of African savannah herbivores: species associations and habitat occupancy in a landscape context	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES	2016	371	1703			2010	2013	48	1125	225	
63	"Andrea Quiroga, Veronica; Noss, Andrew Jay; Ivan Boaglio, Gabriel; Santiago Di Bitetti, Mario"	"Local and continental determinants of giant anteater (Myrmecophaga tridactyla) abundance: Biome, human and jaguar roles in population regulation"	MAMMALIAN BIOLOGY	2016	81	3	274	280	2008	2010	9	5646	88	5270
64	"Andrea Quiroga, Veronica; Ivan Boaglio, Gabriel; Jay Noss, Andrew; Santiago Di Bitetti, Mario"	Critical population status of the jaguar Panthera onca in the Argentine Chaco: camera-trap surveys suggest recent collapse and imminent regional extinction	ORYX	2014	48	1	141	148	2007	2010	9		101	11004
65	"Andresen, L.; Everatt, K. T.; Somers, M. J."	Use of site occupancy models for targeted monitoring of the cheetah	JOURNAL OF ZOOLOGY	2014	292	3	212	220	2012	2012	5	2400	47	1903
66	"Angel Gomez-Ramirez, Miguel; Elizabeth Gutierrez-Gonzalez, Carmina; Alberto Lopez-Gonzalez, Carlos"	Ocelots thrive in a non-typical habitat of northwestern Mexico	ENDANGERED SPECIES RESEARCH	2017	32		471	478	2010	2012	31	350		88508
67	"Angelici, Francesco M.; Rossi, Lorenzo"	"Further lion, Panthera leo senegalensis Meyer, 1826, sightings in Mole National Park, Ghana, and possible first serval Leptailurus serval Schreber, 1776 record after 39 years (Mammalia Felidae)."	Biodiversity Journal	2017	8	2	749	752	2015	2015	1			
68	"Angelici, Francesco M.; Di Vittorio, Massimiliano; Petrozzi, Fabio"	New records of a threatened lion population (Panthera leo) in a West African national park	AFRICAN ZOOLOGY	2012	47	2	353	357	2011	2011	4		20	2474
69	"Anile, S.; Devillard, S."	Study design and body mass influence RAIs from camera trap studies: evidence from the Felidae	ANIMAL CONSERVATION	2016	19	1	35	45						
70	"Anile, S.; Amico, C.; Ragni, B."	POPULATION DENSITY ESTIMATION OF THE EUROPEAN WILDCAT (FELIS SILVESTRIS SILVESTRIS) IN SICILY USING CAMERA TRAPPING.	Wildlife Biology in Practice	2012	8	1	1	12	2006	2009				1080
71	"Anile, S.; Bizzarri, L.; Ragni, B."	Estimation of European wildcat population size in Sicily (Italy) using camera trapping and capture-recapture analyses	ITALIAN JOURNAL OF ZOOLOGY	2010	77	2	241	246	2006	2006	2		11	671
72	"Anile, Stefano; Devillard, Sebastien; Ragni, Bernardino; Rovero, Francesco; Mattucci, Federica; Lo Valvo, Mario"	Habitat fragmentation and anthropogenic factors affect wildcat Felis silvestris silvestris occupancy and detectability on Mt Etna	WILDLIFE BIOLOGY	2019					2015	2016	8	590		3377
74	"Anile, Stefano; Arrabito, Carmelo; Mazzamuto, Maria Vittoria; Scornavacca, Davide; Ragni, Bernardino"	"A non-invasive monitoring on European wildcat (Felis silvestris silvestris Schreber, 1777) in Sicily using hair trapping and camera trapping: does scented lure work?"	HYSTRIX-ITALIAN JOURNAL OF MAMMALOGY	2012	23	2	44	49	2010	2010	2		18	
75	Anonymous	Survey Captures First-Ever Photos of Endangered Jentink's Duiker in Sierra Leone's Western Area.	Gnusletter	2012	30	2	9	10						
76	Anonymous	Record jaguar number counted in rainforest.	Cat News	2011	55	1	46	47						
